,Id,parcel_id,ms_subclass,zoning,lot_frontage,lot_sq_ft,paved_street,alley,lot_shape,flatness,utilities,lot_config,land_slope,neighborhood,proximity_1,proximity_2,style,quality_rating,condition_rating,year_built,year_renovation,roof_style,roof_material,exterior_1,exterior_2,masonry_type,masonry_area,exterior_quality,exterior_condition,foundation_type,basement_height,basement_condition,basement_exposure,basement_finished_condition,basement_2_condition,unfinished_basement_sqft,total_basement_sqft,heating_type,heating_quality,has_central_air,electrical,low_quality_sqft,living_area_sqft,bedrooms,kitchens,kitchen_quality,total_rooms(non-bath_or_basement),fireplaces,fireplace_quality,garage_type,garage_year,garage_finish,garage_size,garage_sqft,garage_quality,garage_condition,has_paved_driveway,deck_sqft,open_porch_sqft,enclosed_porch_sqft,seasonal_porch_sqft,screen_porch_sqft,pool_size,pool_quality,fence_quality,misc_feature,misc_value,month_sold,year_sold,sale_type,SalePrice,baths,finished_basement_sqft,home_age,newly_renovated,basement_none,basement_unfinished,functionality_salvage_only,functionality_severely_damaged,functionality_typical,building_type_single_family,building_type_townhouse_end_unit,building_type_townhouse_inside_unit,building_type_two_family_conversion
0,109,533352170,60,RL,0.0,13517,1,0,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,Unf,192.0,725.0,GasA,Ex,1,SBrkr,0,1479,3,1,Gd,6,0,0,Attchd,1976.0,RFn,2.0,475.0,TA,TA,1,0,44,0,0,0,0,0,0,0,0,3,2010,WD ,130500,2.5,533.0,34,0,0,0,0,0,1,1,0,0,0
1,544,531379050,60,RL,43.0,11492,1,0,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,276.0,913.0,GasA,Ex,1,SBrkr,0,2122,4,1,Gd,8,1,TA,Attchd,1997.0,RFn,2.0,559.0,TA,TA,1,0,74,0,0,0,0,0,0,0,0,4,2009,WD ,220000,3.5,637.0,13,0,0,0,0,0,1,1,0,0,0
2,153,535304180,20,RL,68.0,7922,1,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326.0,1057.0,GasA,TA,1,SBrkr,0,1057,3,1,Gd,5,0,0,Detchd,1953.0,Unf,1.0,246.0,TA,TA,1,0,52,0,0,0,0,0,0,0,0,1,2010,WD ,109000,2.0,731.0,57,0,0,0,0,0,1,1,0,0,0
3,318,916386060,60,RL,73.0,9802,1,0,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,384.0,384.0,GasA,Gd,1,SBrkr,0,1444,3,1,TA,7,0,0,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,1,100,0,0,0,0,0,0,0,0,0,4,2010,WD ,174000,2.5,0.0,4,0,0,1,0,0,1,1,0,0,0
4,255,906425045,50,RL,82.0,14235,1,0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,Unf,676.0,676.0,GasA,TA,1,SBrkr,0,1445,3,1,TA,6,0,0,Detchd,1957.0,Unf,2.0,484.0,TA,TA,0,0,59,0,0,0,0,0,0,0,0,3,2010,WD ,138500,2.0,0.0,110,0,0,1,0,0,1,1,0,0,0
5,138,535126040,20,RL,137.0,16492,1,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,557.0,1517.0,GasA,Ex,1,SBrkr,0,1888,2,1,Gd,6,1,Gd,Attchd,1966.0,Fin,2.0,578.0,TA,TA,1,0,0,0,0,0,0,0,0,0,0,6,2010,WD ,190000,2.5,960.0,44,0,0,0,0,0,0,1,0,0,0
6,2827,908186070,180,RM,35.0,3675,1,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,0.0,547.0,GasA,Gd,1,SBrkr,0,1072,2,1,TA,5,0,0,Basment,2005.0,Fin,2.0,525.0,TA,TA,1,0,44,0,0,0,0,0,0,0,0,6,2006,New,140000,3.0,547.0,1,0,0,0,0,0,1,0,1,0,0
7,145,535154050,20,RL,0.0,12160,1,0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,188.0,1188.0,GasA,Fa,1,SBrkr,0,1188,3,1,TA,6,0,0,Attchd,1959.0,RFn,2.0,531.0,TA,TA,1,0,0,0,0,0,0,0,MnPrv,0,0,5,2010,COD,142000,2.0,1000.0,51,0,0,0,0,0,1,1,0,0,0
8,1942,535353130,20,RL,0.0,15783,1,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,632.0,924.0,GasA,TA,1,SBrkr,0,924,2,1,TA,6,0,0,Detchd,1952.0,Unf,1.0,420.0,TA,TA,1,0,324,0,0,0,0,0,MnPrv,Shed,400,6,2007,WD ,112500,1.0,292.0,55,0,0,0,0,0,1,1,0,0,0
9,1956,535426130,60,RL,70.0,11606,1,0,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,Unf,390.0,1040.0,GasA,TA,1,SBrkr,0,2080,5,1,Fa,9,2,TA,Attchd,1969.0,Unf,2.0,504.0,TA,TA,1,335,0,0,0,0,0,0,0,0,0,9,2007,WD ,135000,2.5,650.0,38,0,0,0,0,0,1,1,0,0,0
